,Priority 1-6 (low - high),Status (messklar/on hold),Messort,Art,Hersteller,WEA-Typ,Projektnumber  (link to PowerBI PM Dashboard),Projectname,DNV PM,Auftragsdatum,Kunde,"Ansprechpartner Kunde (E-Mail, phone)",WEA X von Y,Ser.-Nr.,WP-Nr.:,Hubheight,Rotordiameter,HB,LK,BImschG,Modi Liste,Beschwerdelage ja/nein Bemerkungen,min. Wind speed needed,max. Wind speed needed,bevorz.  WR (falls bekannt),Landowner of  Turbine or Measurment area,Owner of neighbour turbines which have to be shut down,Gridoperator EisMan,sonst. Bemerkungen,Messung 1 Datum/ MA,Messung 2 Datum/ MA,Messung 3 Datum/ MA.1,Stand x = close,Link project folder Acoustics,Breitengrad,Längengrad,L2C/ Salesforce (Link)
0,,,WP Thüle,SEN,Enercon,E 101 E 92,10131349,SEN E92 E101 Thüle (177279),ANISHVENU,2018-12-19,ENERCON GmbH,Joachim Schlote,WEA 1 von 3,1011464,WEA 06,149.0,101.0,Ja,Ja,Unbekannt,,,,,,,,,,2019-06-13,,,Approved,file:///A:\___Projekte\10131349_18 E 101 E 92 SEN WP Thüle Enercon GmbH (Joachim Schlote) ,52.96833,7.97623,177279.0
4,,,WP Grafeld,SEN SIM,Senvion,3.2M122 NES,10158656,SEN SIM WP Grafeld (174035),PHISCH,2018-11-15,GO Wind Projekt GmbH & Co.KG,Gerrit Dallmann,WEA 1 von 4,301575,WEA 2,139.0,122.0,Ja,Ja,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10158656_2019 32M122 NES SEN SIM WP Grafeld GO Wind (Gerrit Dallmann) ,52.609159969087,7.649952987042,174035.0
5,1,messklar,WP Grafeld,SEN SIM,Senvion,3.2M122 NES,10158656,SEN SIM WP Grafeld (174035),PHISCH,2018-11-15,GO Wind Projekt GmbH & Co.KG,Gerrit Dallmann,WEA 2 von 4,301576,WEA 4,139.0,122.0,Ja,Ja,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10158656_2019 32M122 NES SEN SIM WP Grafeld GO Wind (Gerrit Dallmann) ,52.612925,7.651475,174035.0
6,2,,WP Grafeld,SEN SIM,Senvion,3.2M122 NES,10158656,SEN SIM WP Grafeld (174035),PHISCH,2018-11-15,GO Wind Projekt GmbH & Co.KG,Gerrit Dallmann,WEA 3 von 4,301577,WEA 5,139.0,122.0,Ja,Ja,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10158656_2019 32M122 NES SEN SIM WP Grafeld GO Wind (Gerrit Dallmann) ,52.610869,7.655083,174035.0
7,3,,WP Grafeld,SEN SIM,Senvion,3.2M122 NES,10158656,SEN SIM WP Grafeld (174035),PHISCH,2018-11-15,GO Wind Projekt GmbH & Co.KG,Gerrit Dallmann,WEA 4 von 4,301578,WEA 6,139.0,122.0,Ja,Ja,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10158656_2019 32M122 NES SEN SIM WP Grafeld GO Wind (Gerrit Dallmann) ,52.609719,7.659831,174035.0
8,4,Nicht genug Infos,Hemme,SEN,ENERCON,E-70,10161597,SEN WP Hemme (182757),ANNJO,2019-06-25,ENERCON GmbH,Paul Radons,WEA 1 von 2,784125,,,,Nein,Nein,Nein,,,5.0,15.0,W,,,,,,,,Approved,file:///A:\___Projekte\10161597_2019 E_70 SEN Hemme ENERCON (Paul Radons) ,54.269514,8.953031,182757.0
9,,,Hemme,SEN,ENERCON,E-70,10161597,SEN WP Hemme (182757),ANNJO,2019-06-25,ENERCON GmbH,Paul Radons,WEA 2 von 2,784301,Anlage301,64.0,71.0,Ja,Ja,Ja,,,5.0,15.0,W,,,,,2019-12-05,,,Approved,file:///A:\___Projekte\10161597_2019 E_70 SEN Hemme ENERCON (Paul Radons) ,54.26501,8.95316,182757.0
10,,,WP Strübbel,SEN,Enercon,E-70,10169748,SEN E70 Strübbel (183228),ANNJO,2019-09-05,Hornskrug GmbH & Co. KG,Willi Paulsen,WEA 1 von 1,784302,Anlage302,64.0,71.0,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10169748_2019 E_70 SEN WP Strübbel Hornskrug GmbH und Co KG (Willi Paulsen) ,54.265506,8.958083,183228.0
11,,Nicht genug Infos,Wieringerwierf NL,SET,Enercon,E-160 EP5 E1,10175590,SET E-160 Wieringerw (191528),PHISCH,2019-11-08,ENERCON GmbH,Steve Schröder,WEA 1 von 1,,,,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,W,,,,,,,,Approved,file:///A:\___Projekte\10175590_2019 E_160 EP5 E1 SET Wieringerwierf NL Enercon GmbH (Steve Schröder) ,52.818063,5.071106,191528.0
13,,,WP Hartenfelser Kopf,SEN,Schütz,VT 110,10189855,SEN Hartenfelser Kopf (194202),PHISCH,2020-01-24,Schütz GmbH & Co. KGaA,Jörg Klöckner,WEA 1 von 1,20081005,WEA 20,143.2,110.0,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,W,,,,,,,,Approved,file:///A:\___Projekte\10189855_2020 VT 110 SEN WP Hartenfelser Kopf Schütz GmbH (Jörg Klöckner) ,50.621797,7.764551,194202.0
14,,,Dieksanderkoog,SEN,Enercon,E-70 E4,10205374,SEN E-70 Dieksanderkoog 783989 (197371),ANNJO,2020-03-16,ENERCON GmbH,Paul Radons,WEA 1 von 1,783989,WEA 5,85.0,71.0,Unbekannt,Unbekannt,Unbekannt,,,7.0,17.0,W,,,,,,,,Approved,file:///A:\___Projekte\10205374_2020 E_70 E4 SEN Dieksanderkoog Enercon GmbH (Paul Radons) ,53.959137,8.927004,197371.0
15,1,,Dieksanderkoog,SEN,Enercon,E-70 E4,10205384,SEN E70 E4 Dieksanderkoog 783990 (197369),ANNJO,2020-03-16,ENERCON GmbH,Paul Radons,WEA 1 von 1,783990,WEA 6,85.0,71.0,Unbekannt,Unbekannt,Unbekannt,,,7.0,17.0,W,,,,,,,,Approved,file:///A:\___Projekte\10205384_2020 E_70 E4 SEN Dieksanderkoog Enercon GmbH (Paul Radons) ,53.957307,8.927839,197369.0
16,2,Nicht genug Infos,Wittenhof,SIM,Vestas,V126,10206151,SIM Wittenhof ENER (194152),ULFKOC,2020-03-23,ENERTRAG SE,Jonas Armbröster,WEA 1 von 1,,,,,Unbekannt,Unbekannt,Ja,,,6.0,16.0,W,,,,"I_Messungen notwendig wegen hoher Vorbelastung, Telefonat mit T22 geführt",,,,Approved,file:///A:\___Projekte\10206151_2020 V126 SIM Wittenhof ENERTRAG Jonas Armröster (Jonas Armbröster) ,53.340331,13.898623,194152.0
17,3,,_Marsberg_Ersatzstandort für Janneby,SET,Enercon,E-138 EP3 E2,10212487,SET E137 EP3 E2 Janneby (200062),RICFRE,2020-05-07,ENERCON GmbH,Fabian Martens,,1380274,,,,Ja,Ja,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,,51.519506,8.824914,200062.0
18,4,,_Suederhackstedt_Ersatzstandort fuer Janneby,SET,Enercon,E-138 EP3 E2,10212487,SET E137 EP3 E2 Janneby (200062),RICFRE,2020-05-07,ENERCON GmbH,Fabian Martens,,1380456,WEA 1,111.0,138.0,,,,,,6.0,16.0,W,,,,,2022-01-20,2022-05-13,2022-06-23,Approved,,54.58004,9.27255,200062.0
19,,,Hermannsort,SET,Enercon,E-138 EP3 E2,10212487,SET E137 EP3 E2 Janneby (200062),RICFRE,2020-05-07,ENERCON GmbH,Fabian Martens,,1380722,WEA 6,81.0,138.0,Ja,Ja,Unbekannt,,,7.0,17.0,W,,,,,2022-02-22,2022-02-25,,Approved,,54.532846,9.44244,200062.0
