,Priority 1-6 (low - high),Status (messklar/on hold),Messort,Art,Hersteller,WEA-Typ,Projektnumber  (link to PowerBI PM Dashboard),Projectname,DNV PM,Auftragsdatum,Kunde,"Ansprechpartner Kunde (E-Mail, phone)",WEA X von Y,Ser.-Nr.,WP-Nr.:,HB,LK,BImschG,Modi Liste,Beschwerdelage ja/nein Bemerkungen,min. Wind speed needed,max. Wind speed needed,bevorz.  WR (falls bekannt),Landowner of  Turbine or Measurment area,Owner of neighbour turbines which have to be shut down,Gridoperator EisMan,sonst. Bemerkungen,Messung 1 Datum/ MA,Messung 3 Datum/ MA,Messung 3 Datum/ MA.1,Stand x = close,Link project folder Acoustics,Breitengrad,Längengrad,L2C/ Salesforce (Link)
0,,,Windpark Högel,SIM,Enercon,E101,10128976,SIM WP Högel (176339),ULFKOC,2018-11-23,Windpark Högel GmbH & Co. KG,Paul-Martin Andresen,WEA 1 von 2,,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,W,,,,,,,,Approved,file:///A:\___Projekte\10128976_18 E101 SIM Windpark Högel Windpark Högel GmbH (Paul_Martin Andresen) ,,,176339
1,,,Windpark Högel,SIM,Enercon,E101,10128976,SIM WP Högel (176339),ULFKOC,2018-11-23,Windpark Högel GmbH & Co. KG,Paul-Martin Andresen,WEA 2 von 2,,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,W,,,,,,,,Approved,file:///A:\___Projekte\10128976_18 E101 SIM Windpark Högel Windpark Högel GmbH (Paul_Martin Andresen) ,,,176339
2,,,WP Thüle,SEN,Enercon,E 101 E 92,10131349,SEN E92 E101 Thüle (177279),JOPRZ,2018-12-19,ENERCON GmbH,Joachim Schlote,WEA 1 von 3,1011464,,Unbekannt,Unbekannt,Unbekannt,,,,,,,,,,,,,Approved,file:///A:\___Projekte\10131349_18 E 101 E 92 SEN WP Thüle Enercon GmbH (Joachim Schlote) ,52.96833,7.97623,177279
3,,,WP Thüle,SEN,Enercon,E 101 E 92,10131349,SEN E92 E101 Thüle (177279),JOPRZ,2018-12-19,ENERCON GmbH,Joachim Schlote,WEA 2 von 3,,,Unbekannt,Unbekannt,Unbekannt,,,,,,,,,,,,,Approved,file:///A:\___Projekte\10131349_18 E 101 E 92 SEN WP Thüle Enercon GmbH (Joachim Schlote) ,,,177279
4,,,WP Thüle,SEN,Enercon,E 101 E 92,10131349,SEN E92 E101 Thüle (177279),JOPRZ,2018-12-19,ENERCON GmbH,Joachim Schlote,WEA 3 von 3,,,Unbekannt,Unbekannt,Unbekannt,,,,,,,,,,,,,Approved,file:///A:\___Projekte\10131349_18 E 101 E 92 SEN WP Thüle Enercon GmbH (Joachim Schlote) ,,,177279
5,,,Schuby,SIM,,,10155711,SIM Dethlefsen (181376),ULFKOC,2019-04-02,Norbert Detlefsen,Norbert Detlefsen,WEA 1 von 1,,,Unbekannt,Unbekannt,Unbekannt,,,7.0,17.0,W,,,,,,,,Approved,file:///A:\___Projekte\10155711_2019  SIM Schuby Norbert Detlefsen (Norbert Detlefsen) ,,,181376
6,,,WP Grafeld,SEN SIM,Senvion,3.2M122 NES,10158656,SEN SIM WP Grafeld (174035),PHISCH,2018-11-15,GO Wind Projekt GmbH & Co.KG,Gerrit Dallmann,WEA 1 von 4,301575,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10158656_2019 32M122 NES SEN SIM WP Grafeld GO Wind (Gerrit Dallmann) ,52.609159969087,7.649952987042,174035
7,,,WP Grafeld,SEN SIM,Senvion,3.2M122 NES,10158656,SEN SIM WP Grafeld (174035),PHISCH,2018-11-15,GO Wind Projekt GmbH & Co.KG,Gerrit Dallmann,WEA 2 von 4,301576,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10158656_2019 32M122 NES SEN SIM WP Grafeld GO Wind (Gerrit Dallmann) ,52.612925,7.651475,174035
8,,,WP Grafeld,SEN SIM,Senvion,3.2M122 NES,10158656,SEN SIM WP Grafeld (174035),PHISCH,2018-11-15,GO Wind Projekt GmbH & Co.KG,Gerrit Dallmann,WEA 3 von 4,301577,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10158656_2019 32M122 NES SEN SIM WP Grafeld GO Wind (Gerrit Dallmann) ,52.610869,7.655083,174035
9,,,WP Grafeld,SEN SIM,Senvion,3.2M122 NES,10158656,SEN SIM WP Grafeld (174035),PHISCH,2018-11-15,GO Wind Projekt GmbH & Co.KG,Gerrit Dallmann,WEA 4 von 4,301578,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10158656_2019 32M122 NES SEN SIM WP Grafeld GO Wind (Gerrit Dallmann) ,52.609719,7.659831,174035
10,,,WP Amöneburg,SEN,GE,GE 2.5MW,10158800,SEN GE 2.5 Amöneburg (182515),PHISCH,2019-05-27,CHORUS Wind Amöneburg GmbH & Co. KG,Jean-Maurice Bußhoff,WEA 1 von 1,28150062,,Unbekannt,Unbekannt,Unbekannt,,,7.0,17.0,W,,,,,,,,Approved,file:///A:\___Projekte\10158800_2019 GE 25MW SEN WP Amöneburg CHORUS Wind (Jean_Maurice Bußhoff) ,50.744717,8.898971,182515
11,,,Hemme,SEN,ENERCON,E-70,10161597,SEN WP Hemme (182757),ANNJO,2019-06-25,ENERCON GmbH,Paul Radons,WEA 1 von 2,784125,,Nein,Nein,Nein,,,5.0,15.0,W,,,,,,,,Approved,file:///A:\___Projekte\10161597_2019 E_70 SEN Hemme ENERCON (Paul Radons) ,54.269514,8.953031,182757
12,,,Hemme,SEN,ENERCON,E-70,10161597,SEN WP Hemme (182757),ANNJO,2019-06-25,ENERCON GmbH,Paul Radons,WEA 2 von 2,784301,,Nein,Nein,Nein,,,5.0,15.0,W,,,,,,,,Approved,file:///A:\___Projekte\10161597_2019 E_70 SEN Hemme ENERCON (Paul Radons) ,54.26501,8.95316,182757
13,,,WP Hemme,SEN,Enercon,E-82 E2,10165893,SEN E82 Hemme (187739),ANNJO,2019-08-01,ENERCON GmbH,Paul Radons,WEA 1 von 1,825702,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,W,,,,,,,,Approved,file:///A:\___Projekte\10165893_2019 E_82 E2 SEN WP Hemme Enercon GmbH (Paul Radons) ,,,187739
14,,,WP Hemme,SEN,Enercon,E-82 E2,10165893,SEN E82 Hemme (187739),ANNJO,2019-08-01,ENERCON GmbH,Paul Radons,WEA 1 von 1,825702,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,W,,,,,,,,Approved,file:///A:\___Projekte\10165893_2019 E_82 E2 SEN WP Hemme Enercon GmbH (Paul Radons) ,,,187739
15,,,WP Strübbel,SEN,Enercon,E-70,10169748,SEN E70 Strübbel (183228),ANNJO,2019-09-05,Hornskrug GmbH & Co. KG,Willi Paulsen,WEA 1 von 1,784302,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10169748_2019 E_70 SEN WP Strübbel Hornskrug GmbH und Co KG (Willi Paulsen) ,54.265506,8.958083,183228
16,,,Wieringerwierf NL,SET,Enercon,E-160 EP5 E1,10175590,SET E-160 Wieringerw (191528),JOPRZ,2019-11-08,ENERCON GmbH,Steve Schröder,WEA 1 von 1,,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,W,,,,,,,,Approved,file:///A:\___Projekte\10175590_2019 E_160 EP5 E1 SET Wieringerwierf NL Enercon GmbH (Steve Schröder) ,52.818063,5.071106,191528
17,,,KFZ Werkstatt,SIP STB,,,10177961,SIP Werkst Claußen (192278),ULFKOC,2019-11-22,Bernd Claußen,Bernd Claußen,WEA 1 von 1,,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10177961_2019  SIP STB KFZ Werkstatt Bernd Claußen (Bernd Claußen) ,,,192278
