,Messort
0,WP Thüle
4,WP Grafeld
5,WP Grafeld
6,WP Grafeld
7,WP Grafeld
8,Hemme
9,Hemme
10,WP Strübbel
11,Wieringerwierf NL
13,WP Hartenfelser Kopf
14,Dieksanderkoog
15,Dieksanderkoog
16,Wittenhof
17,_Marsberg_Ersatzstandort für Janneby
18,_Suederhackstedt_Ersatzstandort fuer Janneby
19,Hermannsort
20,Hermannsort
21,Janneby
22,Janneby
23,WP Himmelreich
24,WP Himmelreich
25,WP Himmelreich
26,WP Uetze
27,WP Uetze
28,WP Uetze
29,Wilhelmshaven Westerhausen II
30,WP Falkenhagen und Güstow
31,WP Falkenhagen und Güstow
32,WP Falkenhagen und Güstow
38,WP KWK
39,WP Mittelberg
40,WP Norderland Ochtersum II
41,WP Ochtersum III
42,WP Ochtersum I
43,WP Blomberg Neuschloo I
45,Mönchhof Linkamp AT
46,Mönchhof Linkamp AT
47,Mönchhof Linkamp AT
48,Mönchhof Linkamp AT
49,Mönchhof Linkamp AT
50,Mönchhof Linkamp AT
51,Mönchhof Linkamp AT
53,WP Bütteler Balje
54,Olderup
55,WP Biegen
56,WP Biegen
57,Reußenköge
58,KWK
59,Miltzow
60,WP Neuenkirchen
61,Dagebüll
62,WP Brest
64,WP Achim Bollen
65,WP Achim Bollen
66,WP Achim Bollen
67,WP Holstentor
68,WP Holstentor
69,WP Holstentor
70,WP Veer Dörper
71,WP Veer Dörper
72,WP Biegen
73,WP Biegen
74,WP Biegen
75,WP Adensen
76,WP Adensen
77,WP Bollingstedt
78,WP Bollingstedt
79,WP Bollingstedt
80,WP Hermannsort
81,WP Hermannsort
82,WP Hermannsort
83,WP Hermannsort
84,Obere Arlau II
85,Chile
86,Chile
87,Chile
88,Wehrhain
89,Wehrhain
94,Kattrepel II
95,Kattrepel II
96,Kattrepel II
97,Kattrepel II
98,Schneebergerhof
99,Dagebüll
100,Dagebüll
101,Dagebüll
102,Dagebüll
103,Dagebüll
104,Dagebüll
105,Altengamme
106,Altengamme
107,WP Kuhla
108,WP Kuhla
109,WP Kuhla
110,WP Kuhla
111,Auras Süd
112,Auras Süd
113,Auras Süd
114,WP Wulkow
119,WP Janneby
120,Stelle-Wittenwurth
121,WP Iselbek
122,Salzgitter
123,Obere Arlau
124,Ruhlsdorf
125,WP Huje
126,WP Huje
127,Eichenhof
128,Eichenhof
129,WP Norderhamme Hollingstedt
130,WP Norderhamme Hollingstedt
131,Krumstedt
132,Krumstedt
133,WP Auras Süd
134,Mühlenfließ
135,Mühlenfließ
136,Reußenköge
137,Schrepkow
138,Schrepkow
139,Schrepkow
140,Schrepkow
141,Seelow-Gusow
142,WP Sitten
143,WP Sitten
144,Goldelund
145,Beesenberg
146,Heiligengrabe
147,Mühlenberg
148,WP Neuenkirchen
149,Südermarsch
150,Südermarsch
151,Lasbek Barkhorst
152,Fri.Ko.
153,WP Schrepkow
154,WP Schrepkow
155,WP Gudendorf I
156,WP Gudendorf I
157,WP Gudendorf I
158,WP Gudendorf I
159,WP Gudendorf I
160,WP Jerrishoe
161,WP Jerrishoe
162,WP Jerrishoe
163,WP Jerrishoe
164,WP Jerrishoe
165,WP Süderdorf
166,WP Hägen
167,WP Norstedt
168,WP Swatte Poele
169,WP Swatte Poele
170,WP Swatte Poele
171,WP Swatte Poele
172,WP Swatte Poele
173,Dahme-Wahlsdorf
174,Österwurth
175,Corme
176,Corme
177,Wohlsdorf
178,Wohlsdorf
179,Hemme
180,Schoenfeld
181,Heckelberg
182,Dammfleth
183,Dammfleth
184,Tensbüttel
185,Tensbüttel
186,Lohe
187,Wunderberg
188,Wieringermeer/NL
189,Blauw
190,Blauw
191,Blauw
192,Könau (Wrestedt)
193,Könau (Wrestedt)
194,Könau (Wrestedt)
195,Reußenköge
196,Reinbüttel
197,Jettenbach
198,Hämelhausen
199,Hämelhausen
200,WP Silberpatweg Aachen
201,WP Silberpatweg Aachen
203,WP Steife Brise
204,WP Holstenniendorf
205,WP Holstenniendorf
206,WP Holstenniendorf
207,WP Holstenniendorf
208,WP Rantrum
209,WP Rantrum
210,WP Rantrum
211,WP Rantrum
212,La Jaille-Yvon FR
213,La Jaille-Yvon FR
214,La Jaille-Yvon FR
215,WP Bobbau
216,WP Bobbau
217,WP Bobbau
218,WP Bobbau
219,Schaltanlage Jänschwalde
220,WP Falkenwalde
221,WP Falkenwalde
222,WP Wester Ohrstedt
223,WP Wester Ohrstedt
224,WP Wester Ohrstedt
225,BWP Süderdeich
227,Trebitz
228,Trebitz
229,Nordermeldorf
230,Nordermeldorf
231,Nordermeldorf
232,Nordermeldorf
233,Nordermeldorf
234,Nordermeldorf
235,Nordermeldorf
236,Nordermeldorf
237,Nordermeldorf
238,Oldersbek
239,Schantebüll
240,Braderup
241,Wöhrden
242,Wöhrden
243,Wöhrden
244,Wöhrden
245,Wöhrden
246,Wöhrden
247,Wöhrden
248,Albringhausen
255,Ourol (Fr)
256,Uelvesbüll
257,Uelvesbüll
258,Uelvesbüll
259,Uelvesbüll
261,Asch
262,Asch
263,Schlaa
264,Büttler Balje
265,Büttler Balje
267,Regesborstel
268,Regesborstel
269,Wöhrden
270,Wöhrden
271,Wöhrden
272,Wöhrden
273,Wöhrden
274,Wöhrden
275,Wöhrden
276,Wöhrden
277,Wöhrden
278,Wöhrden
279,Wöhrden
281,Himmelreich
283,Hemme
284,Dieksanderkoog
285,Wittenhof
286,_Marsberg_Ersatzstandort für Janneby
287,_Suederhackstedt_Ersatzstandort fuer Janneby
